"Nutrient Modeling (Hypoxia Task Force Search)"
"Search Criteria: Year = 2020; EPA Region = 02; Include all nitrogen loads; Include all phosphorus loads"

"Year","NPDES Permit Number","FRS ID","SIC Code","NAICS Code","Facility Name","City","State","ZIP Code","County","FIPS Code","EPA Region","Facility Type Indicator","Permit Type","Major/Non-Major Status","HUC 12 Code","Total Facility Design Flow (MGD)","Actual Average Facility Flow (MGD)","Facility Latitude","Facility Longitude","Nutrient Type","Total Pounds (lb/yr)","Total Annual Flow (MGal/yr)","Max Allowable Load (kg/yr)","Load Over Limit","Avg Concentration","Data Source for Concentration","Data Source for Flow","Discharges to Impaired Water Bodies","Discharges Pollutants Contributing to Water Body Impairment"
2020,"NJ0004219","110064619480","2819","","E I DUPONT DE NEMOURS - REPAUNO PLANT","GIBBSTOWN","NJ","08027","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Non-Major","020402020607",,1.13,"39.836502","-75.300437","Nitrogen",25741.7070868374461349832948836883963821,630.146,2145.142257236453844581941240307366365179,,3.15548038844401536878115545620645770717,"Modeled","DMR Data","Y",""
2020,"NJ0004219","110064619480","2819","","E I DUPONT DE NEMOURS - REPAUNO PLANT","GIBBSTOWN","NJ","08027","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Non-Major","020402020607",,1.13,"39.836502","-75.300437","Phosphorus",2932.606718808174171606751808516129032256,630.146,244.383893234014514300562650709677419355,,.62268999315287288619726045558064989607,"Modeled","DMR Data","Y",""
2020,"NJ0004278","110006674928","2819","","COIM USA INC","PAULSBORO","NJ","08066-1037","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Non-Major","020402020507",,.0095,"39.837891","-75.2491","Nitrogen",130.855522438040594618807347054968694097,7.667928,10.90462686983671621823394558791405784142,,1.96261984681375581927336042109781779838,"Modeled","DMR Data","",""
2020,"NJ0004278","110006674928","2819","","COIM USA INC","PAULSBORO","NJ","08066-1037","GLOUCESTER","34015","02","NON-POTW","NPDES Individual Permit","Non-Major","020402020507",,.0095,"39.837891","-75.2491","Phosphorus",41.34476276973932069342586013258064516125,7.667928,3.44539689747827672445215501104838709677,,.65960436729698199697191801252823113308,"Modeled","DMR Data","",""
2020,"NJ0004286","110041022274","2821","","MEXICHEM SPECIALTY RESINS","PEDRICKTOWN","NJ","08067","SALEM","34033","02","NON-POTW","NPDES Individual Permit","Major","020402060103",,1260,"39.766944","-75.421361","Nitrogen",7463.142374704559162696813125084083593242,212.7,621.928531225379930224734427090340299437,,4.29855588789545951288464158127270307873,"Modeled","DMR Data","Y",""
2020,"NJ0004286","110041022274","2821","","MEXICHEM SPECIALTY RESINS","PEDRICKTOWN","NJ","08067","SALEM","34033","02","NON-POTW","NPDES Individual Permit","Major","020402060103",,1260,"39.766944","-75.421361","Phosphorus",76.97655,212.7,,0,.1889035667107001321003963011889035667107,"DMR Data","DMR Data","Y",""
2020,"NJ0004391","110000320965","2821","","RIMTEC CORPORATION","BURLINGTON TWP","NJ","08016","BURLINGTON","34005","02","NON-POTW","NPDES Individual Permit","Major","020402010407",,2.98,"40.068513","-74.883871","Nitrogen",6341.301959266064080081930351005350874292,187.267,528.441829938838673340160862583779239524,,2.99680155755808663628282574131520720356,"Modeled","DMR Data","Y","Y"
2020,"NJ0004391","110000320965","2821","","RIMTEC CORPORATION","BURLINGTON TWP","NJ","08016","BURLINGTON","34005","02","NON-POTW","NPDES Individual Permit","Major","020402010407",,2.98,"40.068513","-74.883871","Phosphorus",343.817227456126160135462984948998683748,187.267,28.65143562134384667795524874574989031233,,.1845167407317115300755408644736633139792,"Modeled","DMR Data","Y","Y"
2020,"NJ0004642","110050961072","9711","","LAKEHURST NAVAL AIR ENGINEERING STATION","LAKEHURST","NJ","08733","OCEAN","34029","02","FEDERAL","NPDES Individual Permit","Non-Major","020403010303",,.028,"40.029719","-74.369161","Nitrogen",272.632211265247826086956521739130434782,13.3165,22.71935093877065217391304347826086956517,,2.45473369565217391304347826086956521739,"Modeled","DMR Data","Y",""
2020,"NJ0004642","110050961072","9711","","LAKEHURST NAVAL AIR ENGINEERING STATION","LAKEHURST","NJ","08733","OCEAN","34029","02","FEDERAL","NPDES Individual Permit","Non-Major","020403010303",,.028,"40.029719","-74.369161","Phosphorus",54.67515027581250000000000000000000000017,13.3165,4.55626252298437500000000000000000000001,,.5003026986223815814304585770900169843375,"Modeled","DMR Data","Y",""
